Attributes,,HKXRA124,HKXRA771
WorkRequestType,WR Details,X,X
WRDetails,,,
Source,,,
URL,,,
Item,,,
CUST_Primary,Customer Objects,,
CUST_COID_1,,,
ECN_1,,,
CustID_1,,,
TieBreaker_1,,,
Name1,,,
First_Name1,,,
Middle_Name1,,,
Last_Name1,,,
DOB_1,,,
Status_1,,,
TIN_1,,,
TIN_Type1,,,
Acct_Primary,Account Object,,
AccountNumber_1,,X,
ACCT_COID_1,,X,
PC_1,,X,
Status_1,,,
LMD_1,,,
AddressLine0_1,Address Object,,X
AddressLine1_1,,,X
AddressLine2_1,,,X
AddressLine3_1,,,
City_1,,,X
State_1,,,X
Zip_1,,,X
CountryName_1,,,X
CountryCode_1,,,
TPAddressLine0_1,,,X
TPAddressLine1_1,,,X
TPAddressLine2_1,,,X
TPAddressLine3_1,,,
TP_Neighborhood,,,
TPCity_1,,,X
TPUSState_1,,,
TPProvince,,,
TPPostalCode_1,,,X
TPCountryCode_1,,,X
TP_Type,,,
Email ID_1,,,
Phone_1,,,
Borrower_Occupation?_1,Other Details,,
Borrower_Present_Address_1,,,
Borrower_Present_City?_1,,,
Borrower_Present_State_1,,,
Borrower_Present_Zip_1? ,,,
Borrow_Cnt_PRI_Ctznship_1,,,
Borrow_US_Citizen_1? ,,,
Borrow_Resident_Alien?_1,,,
Deceased_Customer_Detail_1,,,
Rel_Cd_1,,,
Is_Primary_1,,,
Old_COID_1,,,
Old_Account_Number_1,,,
